imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0255820,0.0,,,2000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,323498.0,en,Return to Babylon,"Scandals and pratfalls abound in this satirical and sexy look at the silent movie era. With Jennifer Tilly, Debi Mazar, and Tippi Hedren.",2.088,/YXms7mmp0iS91vCMljivmWWbEe.jpg,[],[],2013-08-11,0.0,75.0,[],Released,,Return to Babylon,0.0,5.8,22.0,
tt0359950,0.0,/8hSjOHRY4OUEpqxszYbMdem8z9C.jpg,,90000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",https://www.20thcenturystudios.com/movies/the-secret-life-of-walter-mitty,116745.0,en,The Secret Life of Walter Mitty,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,30.448,/tY6ypjKOOtujhxiSwTmvA4OZ5IE.jpg,"[{'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}, {'id': 10893, 'logo_path': None, 'name': 'Big Screen Productions', 'origin_country': ''}, {'id': 37336, 'logo_path': None, 'name': 'Down Productions', 'origin_country': ''}, {'id': 2932, 'logo_path': '/4uLKLjGivVg2YnAIhAn8k7ZuVFj.png', 'name': 'Red Hour', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2013-12-18,188133322.0,114.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Icelandic', 'iso_639_1': 'is', 'name': 'Íslenska'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Stop dreaming. Start living.,The Secret Life of Walter Mitty,0.0,7.173,7089.0,PG
tt0409379,0.0,/3tjCnZ9GFLiuMjAHxXAm5Tc98W2.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",http://insecretmovie.com/,172226.0,en,In Secret,"In 1860s Paris, a young woman, Therese, is trapped in a loveless marriage to the sickly Camille by her domineering aunt, Madame Raquin. She spends her days behind the counter of a small shop and her evenings watching Madame play dominos with an eclectic group. After she meets her husband’s alluring friend, Laurent, she embarks on an illicit affair that leads to tragic consequences. Based on Emile Zola’s novel, Thérèse Raquin.",14.775,/VkxiXAt1zl3aw2cID8Xpgl643T.jpg,"[{'id': 11448, 'logo_path': '/twhX9HMUuGW4Mhb45AyWDhRqkvR.png', 'name': 'Exclusive Media', 'origin_country': 'US'}, {'id': 9217, 'logo_path': None, 'name': 'Pioneer Pictures', 'origin_country': 'HU'}, {'id': 11140, 'logo_path': None, 'name': 'Wonderful Films PLC', 'origin_country': ''}, {'id': 18697, 'logo_path': None, 'name': 'Work in Progress', 'origin_country': 'RS'}, {'id': 8533, 'logo_path': '/5jxaT7zoJKtnwqxniiJ9iJLsJru.png', 'name': 'LD Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'RS', 'name': 'Serbia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-09-17,0.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,In Secret,0.0,6.202,198.0,R
tt0452183,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,439174.0,en,Blunt Movie,"Sketch comedy anthology. TV commercials, movie and politics are parodied. Stars Pat Morita",1.653,,"[{'id': 86576, 'logo_path': None, 'name': 'Coming Attractions LLC', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-04-20,0.0,83.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,From the creators of ABSOLUTELY NOTHING before this comedy!,Blunt Movie,0.0,3.7,3.0,R
tt0453562,0.0,/eyjWwMOgkq4nh0wMtyW8XPJ749H.jpg,,40000000.0,"[{'id': 18, 'name': 'Drama'}]",,109410.0,en,42,"In 1946, Branch Rickey (Harrison Ford), owner of the Brooklyn Dodgers, took a stand against Major League Baseball's infamous colour line when he signed Jackie Robinson (Chadwick Boseman) to the team. The deal put both men in the crosshairs of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and let his talent on the field wins over fans and his teammates – silencing his critics and forever changing the world by changing the game of baseball.",20.45,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-04-12,95020213.0,128.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The True Story of an American Legend,42,0.0,7.16,1661.0,PG-13
tt0463960,0.0,/pNoIV82gHnnluCUFvJyXQU1dRJJ.jpg,,2000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,206349.0,en,The Devil You Know,"Kathryn Vale is a reclusive ex-movie star with a dark secret and a daughter hoping to follow in her mother's movie-star footsteps. When Kathryn attempts to make a career comeback, she is threatened by an anonymous blackmailer. The resulting events force Kathryn to confront the truth about herself and those around her.",8.709,/geBT9wBVylKSzVIDhTiT8Ivbe0N.jpg,"[{'id': 42702, 'logo_path': None, 'name': 'Roger Films', 'origin_country': ''}, {'id': 42703, 'logo_path': '/6xzdkAR5QHhOFPSLtRBzzs25O7G.png', 'name': 'RIVR Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-09,0.0,72.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every Family Has Its Secrets.,The Devil You Know,0.0,4.8,23.0,NR
tt0469021,0.0,/jZbenMUxHMCMAssc0VPP1Dw5Mdt.jpg,,4000000.0,"[{'id': 35, 'name': 'Comedy'}]",http://alanpartridge-alphapapa.com,177699.0,en,Alan Partridge: Alpha Papa,"When famous DJ Alan Partridge’s radio station is taken over by a new media conglomerate, it sets in motion a chain of events which see Alan having to work with the police to defuse a potentially violent siege.",9.571,/zsfNVz1ZualTDQinvL2Em61WyNp.jpg,"[{'id': 7281, 'logo_path': '/lkqIuaKTm2sg3umwTBScmqyzLX5.png', 'name': 'BFI', 'origin_country': 'GB'}, {'id': 288, 'logo_path': '/aW0IpM9d4Zjj978EqgDVSxXXhTj.png', 'name': 'BBC Film', 'origin_country': 'GB'}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}, {'id': 1219, 'logo_path': '/6OGqCShROjIvmBOfRbeUsn7im93.png', 'name': 'Baby Cow Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2013-07-24,9800000.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,12 hostages. 24 hours. 1 Partridge.,Alan Partridge: Alpha Papa,0.0,6.657,413.0,PG-13
tt0479700,0.0,,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,21877.0,en,The Line,"Amidst a volatile underworld, a member of an Asian crime family is brutally murdered in cold blood. To prevent a gang war, recently promoted detective, James Jewel is teamed with rogue undercover cop Mike Calis. Against the clock, the officers must unravel the truth behind the killing. The deeper they delve, the greater the web of deceit grows. A place where the line between cop and criminal is constantly blurred.",0.911,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-08-08,0.0,95.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Between cop and criminal... betrayal respects no line.,The Line,0.0,6.0,2.0,
tt0481499,0.0,/bNgqt819qpHcszjCzLCG5y16ldF.jpg,"{'id': 464577, 'name': 'The Croods Collection', 'poster_path': '/xXkgOq23Me45PHXsCPQz5nvmlXt.jpg', 'backdrop_path': '/8MjzBahFKCuQbwytpPPds7qboQa.jpg'}",135000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",http://www.thecroodsmovie.com/,49519.0,en,The Croods,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",62.74,/p7lJkqHlK01nr0zNacunUFI5Qxy.jpg,"[{'id': 521, 'logo_path': '/kP7t6RwGz2AvvTkvnI1uteEwHet.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-03-15,587204668.0,98.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Meet the first modern family.,The Croods,0.0,6.913,6617.0,PG
