imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0062336,0.0,/fw5tsNib4QZBEw18xmebpVe3WZ8.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",http://poetastros.com/el-tango-del-viudo/,602986.0,es,El tango del viudo y su espejo deformante,"A man whose wife has committed suicide,  appears to him as a ghost. The ghost follows him everywhere, under the bed, under tables… After seeing the ghost so frequently, the man begins to resemble her.",1.653,/yzbqP9woGq2wGUJh0DzVXlr3Th7.jpg,"[{'id': 96241, 'logo_path': None, 'name': 'Poetastros', 'origin_country': 'CL'}]","[{'iso_3166_1': 'CL', 'name': 'Chile'}]",2020-02-21,0.0,63.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Tango of the Widower and Its Distorting Mirror,0.0,6.167,6.0,
tt0805647,0.0,/8rIoyM6zYXJNjzGseT3MRusMPWl.jpg,,0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",https://www.thewitchesmovie.net/,531219.0,en,Roald Dahl's The Witches,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",65.002,/ht6EfsM5hrsUPSR4ReJQFDVU71F.jpg,"[{'id': 11395, 'logo_path': '/5vSBzUwnCcaF90ZTchG3LwRKQ2M.png', 'name': 'ImageMovers', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 101082, 'logo_path': None, 'name': 'Double Dare You Productions', 'origin_country': 'US'}, {'id': 11627, 'logo_path': None, 'name': 'Necropia Entertainment', 'origin_country': 'US'}, {'id': 7470, 'logo_path': None, 'name': 'Esperanto Filmoj', 'origin_country': 'US'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-10-26,29303571.0,106.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They're real!,Roald Dahl's The Witches,0.0,6.396,2589.0,PG
tt0920462,0.0,/7GZ60FQuzejs73tfoBDFpCR21Iv.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",https://www.lostgirlslovehotels.film,479259.0,en,Lost Girls & Love Hotels,"Searching for escape in Tokyo's back alleys, a haunted English teacher explores love and lust with a dashing Yakuza, as their tumultuous affair takes her on a journey through the city's dive bars and three-hour love hotels.",13.528,/vQgXwuJrlpzGDI8169tRQRy71Nv.jpg,"[{'id': 136892, 'logo_path': None, 'name': 'Wandering Trail Pictures', 'origin_country': 'US'}, {'id': 79500, 'logo_path': None, 'name': 'Blackbird', 'origin_country': 'US'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-09-18,106045.0,97.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Lost Girls & Love Hotels,0.0,5.324,153.0,R
tt0926132,0.0,/op14w44FvLUqH7TWyT1ijzrSfXV.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}]",http://www.roadtored.com,651448.0,en,Darkslide,"High in the Sierra Nevada Mountains of California, a local sheriff finds world skateboard champion Paul McGuiness’ abandoned hearse parked at a remote alpine lake. Stricken with guilt and shame, Bruce McGuiness—Paul's brother and manager—sets out on an epic road trip with four of Paul’s best friends to restore his missing brother’s honor and skateboard legacy. What begins as an adventure of a lifetime to make skateboard history quickly turns into an ominous battle for survival.",1.323,/tBrm4WCJu2Pybdw63qi2hoQtBSl.jpg,"[{'id': 156711, 'logo_path': None, 'name': 'Worldwide Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-11-17,0.0,121.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Keep Moving or Die,Darkslide,0.0,5.2,5.0,
tt0983946,0.0,/dzfiE2VHY362dGI62XfZ2iI87CT.jpg,,7000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]",,539537.0,en,Fantasy Island,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",28.374,/8ZMrZGGW65ePWIgRn1260nA1uUm.jpg,"[{'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/wrweLpBqRYcAM7kCSaHDJRxKGOP.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 172892, 'logo_path': None, 'name': 'Tower of Babble', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-02-12,49447308.0,109.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Never coming home,Fantasy Island,0.0,5.841,2249.0,PG-13
tt10003008,0.0,/iUO9o85kXRD9H8E6qZ6j9Z7UwEf.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}]",,587496.0,en,The Rental,"Two couples on an oceanside getaway grow suspicious that the host of their seemingly perfect rental house may be spying on them. Before long, what should have been a celebratory weekend trip turns into something far more sinister.",18.432,/3ynPnBXQVT2Y0s19fDIPlWKUlxH.jpg,"[{'id': 22146, 'logo_path': '/jPBtpMh0AUFqf9yfOJXer9d5Rei.png', 'name': 'Black Bear Pictures', 'origin_country': 'US'}, {'id': 91934, 'logo_path': '/1wxOybskstMzBlHegdXkkxvN11N.png', 'name': 'Ramona Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-07-23,4296804.0,88.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Secluded getaway. Killer views.,The Rental,0.0,5.5,787.0,R
tt10003614,0.0,,,0.0,[],,920050.0,en,The Metamorphosis of Ismaila Ba,"The Metamorphosis of Ismaila Ba is the story of two women who meet in a cafe. There is an undeniable attraction, even as each of them sees the depth of the other's pain. Things immediately get complicated when they are brutally attacked in what seems like a random act of violence.",0.6000000000000001,/rDEeddnvIWDznO1yQtxndpactS8.jpg,[],[],,0.0,60.0,[],Released,,The Metamorphosis of Ismaila Ba,0.0,5.0,1.0,
tt10003994,0.0,/o5Pn1sKd4rei5TTVlvoYHgs7C90.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,742433.0,en,Seeds,A grieving mother holds onto her Catholic faith as her husband leaves to study and learn the secrets of an old New England cult. Secrets that the Catholic Church wants for their own use. Meanwhile the cult has deadly plans of their own.,0.886,/x3dfw5JtAQoFVmQU3SRtKmjbg3d.jpg,[],[],2020-08-30,0.0,93.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In this circle we plant the Seeds, in this circle his blood we need.",Seeds,0.0,2.0,1.0,
tt10004108,0.0,/v0bFTXnLNh9cjvpIckJpIM2t9nf.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}]",,631583.0,en,Sacrifice,Isaac and his pregnant wife visit a remote Norwegian village to claim an unexpected inheritance. The couple finds themselves caught in a nightmare when they encounter a sinister cult that worships a sea-dwelling deity.,3.361,/xXI5Lg6mJLEesTggRJBrq50vrqU.jpg,"[{'id': 96244, 'logo_path': None, 'name': 'Hydra Films RKM', 'origin_country': ''}, {'id': 123080, 'logo_path': None, 'name': 'Loose Canon Films', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2021-02-09,0.0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Dream Well,Sacrifice,0.0,4.6,34.0,R
